2024-11-15 20:17:56,203 | MainProcess | MainThread | docker.utils.config | DEBUG | Trying paths: ['/Users/ctavolazzi/.docker/config.json', '/Users/ctavolazzi/.dockercfg']
2024-11-15 20:17:56,204 | MainProcess | MainThread | docker.utils.config | DEBUG | Found file at path: /Users/ctavolazzi/.docker/config.json
2024-11-15 20:17:56,204 | MainProcess | MainThread | docker.auth | DEBUG | Found 'credsStore' section
2024-11-15 20:17:56,219 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /version HTTP/1.1" 200 None
2024-11-15 20:17:56,226 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/images/python:3-slim/json HTTP/1.1" 200 None
2024-11-15 20:17:56,271 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/create?name=autogen-code-exec-6f0c8f1c-974a-40c0-a1ea-f54033914751 HTTP/1.1" 201 None
2024-11-15 20:17:56,280 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/containers/0b5ba34b1f412c1e088b824f7b899a62aee32aa15703a5cbdde49082465cc2ed/json HTTP/1.1" 200 None
2024-11-15 20:17:56,534 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/0b5ba34b1f412c1e088b824f7b899a62aee32aa15703a5cbdde49082465cc2ed/start HTTP/1.1" 204 0
2024-11-15 20:17:56,641 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/containers/0b5ba34b1f412c1e088b824f7b899a62aee32aa15703a5cbdde49082465cc2ed/json HTTP/1.1" 200 None
2024-11-15 20:17:56,642 | MainProcess | MainThread | AutogenGame | INFO | Setting up agents
2024-11-15 20:17:56,644 | MainProcess | MainThread | httpx | DEBUG | load_ssl_context verify=True cert=None trust_env=True http2=False
2024-11-15 20:17:56,644 | MainProcess | MainThread | httpx | DEBUG | load_verify_locations cafile='/Users/ctavolazzi/.pyenv/versions/3.10.13/lib/python3.10/site-packages/certifi/cacert.pem'
2024-11-15 20:17:56,656 | MainProcess | MainThread | AutogenGame | ERROR | Fatal error: 'ConversableAgent' object has no attribute 'register_reply_filter'
2024-11-15 20:17:56,678 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/containers/autogen-code-exec-6f0c8f1c-974a-40c0-a1ea-f54033914751/json HTTP/1.1" 200 None
2024-11-15 20:18:06,827 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/0b5ba34b1f412c1e088b824f7b899a62aee32aa15703a5cbdde49082465cc2ed/stop HTTP/1.1" 204 0
