2024-11-15 20:13:11,913 | MainProcess | MainThread | docker.utils.config | DEBUG | Trying paths: ['/Users/ctavolazzi/.docker/config.json', '/Users/ctavolazzi/.dockercfg']
2024-11-15 20:13:11,914 | MainProcess | MainThread | docker.utils.config | DEBUG | Found file at path: /Users/ctavolazzi/.docker/config.json
2024-11-15 20:13:11,914 | MainProcess | MainThread | docker.auth | DEBUG | Found 'credsStore' section
2024-11-15 20:13:11,928 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /version HTTP/1.1" 200 None
2024-11-15 20:13:11,934 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/images/python:3.10-slim/json HTTP/1.1" 200 None
2024-11-15 20:13:11,975 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/create?name=autogen-code-exec-acbfd8fe-3251-40eb-b050-bc33c5836275 HTTP/1.1" 201 None
2024-11-15 20:13:11,984 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/containers/1d9038be8cc30ce758b47ce06c4d101d4ca8f42f111073071c0d546f4e358f26/json HTTP/1.1" 200 None
2024-11-15 20:13:12,249 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/1d9038be8cc30ce758b47ce06c4d101d4ca8f42f111073071c0d546f4e358f26/start HTTP/1.1" 204 0
2024-11-15 20:13:12,358 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/containers/1d9038be8cc30ce758b47ce06c4d101d4ca8f42f111073071c0d546f4e358f26/json HTTP/1.1" 200 None
2024-11-15 20:13:12,359 | MainProcess | MainThread | root | INFO | Setting up agents
2024-11-15 20:13:12,359 | MainProcess | MainThread | AutogenGame | ERROR | Fatal error: 'AutogenGame' object has no attribute 'assistant_system_message'
2024-11-15 20:13:12,365 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/containers/autogen-code-exec-acbfd8fe-3251-40eb-b050-bc33c5836275/json HTTP/1.1" 200 None
2024-11-15 20:13:22,526 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/1d9038be8cc30ce758b47ce06c4d101d4ca8f42f111073071c0d546f4e358f26/stop HTTP/1.1" 204 0
