2024-11-15 20:19:07,301 | MainProcess | MainThread | docker.utils.config | DEBUG | Trying paths: ['/Users/ctavolazzi/.docker/config.json', '/Users/ctavolazzi/.dockercfg']
2024-11-15 20:19:07,301 | MainProcess | MainThread | docker.utils.config | DEBUG | Found file at path: /Users/ctavolazzi/.docker/config.json
2024-11-15 20:19:07,301 | MainProcess | MainThread | docker.auth | DEBUG | Found 'credsStore' section
2024-11-15 20:19:07,316 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /version HTTP/1.1" 200 None
2024-11-15 20:19:07,322 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/images/python:3-slim/json HTTP/1.1" 200 None
2024-11-15 20:19:07,367 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/create?name=autogen-code-exec-6b6123ad-3b7d-4243-9773-c176a65a861c HTTP/1.1" 201 None
2024-11-15 20:19:07,377 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/containers/722b5a1664f88a082cbd0879e740c7c3de6cc357502bbf3ce4826c51895ad5f8/json HTTP/1.1" 200 None
2024-11-15 20:19:07,608 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/722b5a1664f88a082cbd0879e740c7c3de6cc357502bbf3ce4826c51895ad5f8/start HTTP/1.1" 204 0
2024-11-15 20:19:07,718 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/containers/722b5a1664f88a082cbd0879e740c7c3de6cc357502bbf3ce4826c51895ad5f8/json HTTP/1.1" 200 None
2024-11-15 20:19:07,719 | MainProcess | MainThread | AutogenGame | INFO | Setting up agents
2024-11-15 20:19:07,720 | MainProcess | MainThread | httpx | DEBUG | load_ssl_context verify=True cert=None trust_env=True http2=False
2024-11-15 20:19:07,720 | MainProcess | MainThread | httpx | DEBUG | load_verify_locations cafile='/Users/ctavolazzi/.pyenv/versions/3.10.13/lib/python3.10/site-packages/certifi/cacert.pem'
2024-11-15 20:19:07,736 | MainProcess | MainThread | AutogenGame | INFO | Starting Autogen CYOA game
2024-11-15 20:19:07,933 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/722b5a1664f88a082cbd0879e740c7c3de6cc357502bbf3ce4826c51895ad5f8/exec HTTP/1.1" 201 None
2024-11-15 20:19:07,967 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/exec/469d62a59f1072f238d740d8aa2c9e8a38dc38a7931abaacaeecf32576991470/start HTTP/1.1" 101 0
2024-11-15 20:19:08,094 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/exec/469d62a59f1072f238d740d8aa2c9e8a38dc38a7931abaacaeecf32576991470/json HTTP/1.1" 200 None
2024-11-15 20:19:08,352 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/containers/autogen-code-exec-6b6123ad-3b7d-4243-9773-c176a65a861c/json HTTP/1.1" 200 None
2024-11-15 20:19:18,493 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/722b5a1664f88a082cbd0879e740c7c3de6cc357502bbf3ce4826c51895ad5f8/stop HTTP/1.1" 204 0
